price,location,rooms,rating,detail_ratings,place_offers
€ 117 ,"Agios Pavlos, Greece",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value5.0']","['Bathtub', 'Hair dryer', 'Cleaning products', 'Body soap', 'Hot water', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'TV', 'Crib', 'Air conditioning', 'Heating', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Oven', 'Coffee maker', 'Wine glasses', 'Toaster', 'Blender', 'Coffee', 'Outdoor dining area', 'Private hot tub', 'Long term stays allowed', 'Cleaning available during stay', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance']"
€ 100 ,"Thessaloniki, Greece",5 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,4.97 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication4.9', 'Location4.9', 'Check-in5.0', 'Value5.0']","['City skyline view', 'Hair dryer', 'Free washer – In unit', 'Iron', '50"" HDTV with Netflix', 'Books and reading material', 'Central air conditioning', 'Portable air conditioning', 'Portable fans', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Electric stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Dining table', 'Coffee', 'Beach access', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Paid street parking off premises', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: EssentialsEssentials', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location4.9', 'Check-in5.0', 'Value5.0']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Room-darkening shades', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Patio or balcony', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 150 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2.5 baths,4.94 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication5.0', 'Location4.9', 'Check-in5.0', 'Value4.8']","['Mountain view', 'City skyline view', 'Sea view', 'Hair dryer', 'Shampoo', 'Bidet', 'Hot water', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Safe', 'Clothing storage: walk-in closet', 'Ethernet connection', 'TV', 'Piano', 'Crib', 'Pack ’n play/Travel crib', 'High chair', 'Air conditioning', 'Indoor fireplace', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Baking sheet', 'Private patio or balcony', 'BBQ grill', 'Free parking on premises', 'Free street parking', 'Elevator', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Private entrancePrivate entrance']"
€ 203 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,,[],"['Hair dryer', 'LUX shampoo', 'LUX body soap', 'Hot water', 'Shower gel', 'Free washer – In building', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Clothing storage: wardrobe', '43"" HDTV', 'Crib - available upon request', 'Folding or convertible high chair - available upon request', 'Central air conditioning', 'Heating', 'Security cameras on property', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Pyramis electric stove', 'Hot water kettle', 'Coffee maker: espresso machine', 'Wine glasses', 'Coffee', 'Private hot tub - available all year, open 24 hours', 'Elevator', 'Paid parking lot on premises – 10 spaces', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Cleaning available during stay', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.75 ·,"['Cleanliness4.7', 'Accuracy4.8', 'Communication4.9', 'Location4.2', 'Check-in4.8', 'Value4.6']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Mosquito net', '50"" HDTV with Netflix', 'Air conditioning', 'Central heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Induction stove', 'Hot water kettle', 'Coffee maker: espresso machine', 'Wine glasses', 'Coffee', 'Free street parking', 'Private hot tub - available all year, open 24 hours', 'Elevator', 'Paid parking garage off premises', 'Smoking allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 96 ,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1.5 baths,4.84 ·,"['Cleanliness4.8', 'Accuracy4.8', 'Communication4.9', 'Location4.9', 'Check-in4.9', 'Value4.8']","['City skyline view', 'Sea view', 'Mountain view', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Fire extinguisher', 'Fast wifi – 99 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Beach access – Beachfront', 'Private patio or balcony', 'Outdoor furniture', 'Hammock', 'Outdoor dining area', 'Paid parking off premises', 'Pets allowed', 'Smoking allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 40 ,"Thessaloniki, Greece",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,4.80 ·,"['Cleanliness5.0', 'Accuracy4.5', 'Communication4.7', 'Location5.0', 'Check-in4.7', 'Value4.8']","['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Babysitter recommendations', 'Air conditioning', 'Heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Oven', 'Coffee maker', 'Wine glasses', 'Baking sheet', 'Dining table', 'Coffee', 'Public or shared beach access', 'Laundromat nearby', 'Patio or balcony', 'Elevator', 'Single level home', 'Long term stays allowed', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,,[],"['Bathtub', 'Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Extra pillows and blankets', '55"" HDTV with Netflix, Disney+', 'Air conditioning', 'Central heating', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Oven', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Laundromat nearby', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Elevator', 'Pets allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 111 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.74 ·,"['Cleanliness4.7', 'Accuracy4.7', 'Communication4.8', 'Location4.6', 'Check-in4.8', 'Value4.5']","['Bathtub', 'Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Washer', 'Free dryer – In unit', 'Hangers', 'TV', 'Air conditioning', 'Central heating', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Induction stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Baking sheet', 'Dining table', 'Coffee', 'Private pool', 'Private hot tub', 'Long term stays allowed', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: EssentialsEssentials', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
